ATAU   250     1.120     0.010  CLOUD-top sub-layers: max#, factor, min dtau
NW-SCATTER   56  ! Scattering phase fns, scale extinct @ 999 nm    (mjp 99/07)
 w(nm)    Q    r-eff  ss-alb  pi(0) pi(1) pi(2) pi(3) pi(4) pi(5) pi(6) pi(7)
41 OC95(rvm) Organic C, RH=95 (n@400=1.37-.001i log-norm: r=.04um/sigma=2.0)
  300  1.5220  0.133  1800.0  0.9909  1.000 2.248 2.781 2.631 2.306 1.885 1.502 1.186
  400  1.0365  0.133  1800.0  0.9941  1.000 2.184 2.601 2.355 1.969 1.535 1.169 0.879
  600  0.5230  0.133  1800.0  0.9915  1.000 2.031 2.262 1.877 1.446 1.042 0.740 0.517
 1000  0.1771  0.133  1800.0  0.9665  1.000 1.734 1.761 1.251 0.844 0.538 0.345 0.219
42 OC99(rvm) Organic C, RH=99 (n@400=1.350.000i log-norm: r=.05um/sigma=2.0)
  300  1.9223  0.177  1800.0  0.9958  1.000 2.322 3.000 2.985 2.758 2.380 1.999 1.664
  400  1.4182  0.177  1800.0  0.9975  1.000 2.288 2.866 2.763 2.452 2.032 1.637 1.301
  600  0.7958  0.177  1800.0  0.9967  1.000 2.178 2.576 2.318 1.921 1.487 1.124 0.836
 1000  0.3046  0.177  1800.0  0.9883  1.000 1.935 2.089 1.655 1.224 0.851 0.586 0.398
43 SSa00(rvm) Sea Salt (accum), RH=00 (n@400=1.50 log-norm: r=.21um/sigma=2.0)
  300  2.4998  0.732  2200.0  0.9999  1.000 2.122 3.044 3.083 3.688 3.676 4.110 4.155
  400  2.6308  0.732  2200.0  1.0000  1.000 2.096 2.938 2.916 3.332 3.234 3.455 3.412
  600  2.7565  0.732  2200.0  1.0000  1.000 2.092 2.812 2.714 2.854 2.633 2.591 2.435
 1000  2.5373  0.732  2200.0  0.9987  1.000 2.125 2.701 2.530 2.378 2.037 1.776 1.533
44 SSa50(rvm) Sea Salt (accum), RH=50 (n@400=1.38 log-norm: r=.34um/sigma=2.0)
  300  2.3632  1.177  2200.0  1.0000  1.000 2.337 3.457 3.796 4.390 4.661 5.083 5.455
