Cloud-J v7.5+ NEW extended cloud scattering and absorption for 12:18 (old FJ) & 19:27 (+RRTM)
  03 = liquid-water Mie, ice-water irregular&warm, ice-water hexagonal&cold
  06 = number of effective radii (microns)
Use bin#12 for bins#1:#11 (very little light in trop)
water clouds use std Mie with liquid-water refr index & C1/Deirmenjian gamma distrib: alfa=6, Reff given, rho=1.00
ice   clouds use Mie with ice-water refr index to get PI0, Q, rho = 0.917
           scattering uses Mishchenko 8-term phase fn for all sizes with cold (hexag) & warm (irreg)
FJ# Weff Reff  Geff  NReal NImag   Q-ext PI0=ssa P1:P7
Liquid Water 1.00000
23 2.039 48.0 5004. 1.272 1.2E-03 2.076 0.78760 2.257 3.164 4.096 5.088 6.018 6.897 7.794
23 2.039 95.519927. 1.272 1.2E-03 2.048 0.68067 2.257 3.164 4.096 5.088 6.018 6.897 7.794

24 2.309  3.0  19.5 1.251 4.7E-04 3.135 0.99518 2.257 3.164 4.096 5.088 6.018 6.897 7.794
24 2.309  6.0  78.2 1.251 4.7E-04 2.402 0.98724 2.257 3.164 4.096 5.088 6.018 6.897 7.794
24 2.309 12.0 312.8 1.251 4.7E-04 2.225 0.97315 2.257 3.164 4.096 5.088 6.018 6.897 7.794
24 2.309 24.0 1251. 1.251 4.7E-04 2.136 0.95005 2.257 3.164 4.096 5.088 6.018 6.897 7.794
24 2.309 48.0 5004. 1.251 4.7E-04 2.083 0.90882 2.257 3.164 4.096 5.088 6.018 6.897 7.794
24 2.309 95.519927. 1.251 4.7E-04 2.052 0.84034 2.257 3.164 4.096 5.088 6.018 6.897 7.794

25 2.748  3.0  19.5 1.125 1.0E-01 1.709 0.44421 2.257 3.164 4.096 5.088 6.018 6.897 7.794
25 2.748  6.0  78.2 1.125 1.0E-01 2.139 0.49400 2.257 3.164 4.096 5.088 6.018 6.897 7.794
25 2.748 12.0 312.8 1.125 1.0E-01 2.158 0.49467 2.257 3.164 4.096 5.088 6.018 6.897 7.794
25 2.748 24.0 1251. 1.125 1.0E-01 2.106 0.50134 2.257 3.164 4.096 5.088 6.018 6.897 7.794
25 2.748 48.0 5004. 1.125 1.0E-01 2.071 0.51068 2.257 3.164 4.096 5.088 6.018 6.897 7.794
25 2.748 95.519927. 1.125 1.0E-01 2.048 0.51638 2.257 3.164 4.096 5.088 6.018 6.897 7.794

26 3.404  3.0  19.5 1.496 1.6E-01 2.751 0.53791 2.257 3.164 4.096 5.088 6.018 6.897 7.794
26 3.404  6.0  78.2 1.496 1.6E-01 2.408 0.49255 2.257 3.164 4.096 5.088 6.018 6.897 7.794
26 3.404 12.0 312.8 1.496 1.6E-01 2.253 0.51306 2.257 3.164 4.096 5.088 6.018 6.897 7.794
26 3.404 24.0 1251. 1.496 1.6E-01 2.161 0.53072 2.257 3.164 4.096 5.088 6.018 6.897 7.794
26 3.404 48.0 5004. 1.496 1.6E-01 2.102 0.54080 2.257 3.164 4.096 5.088 6.018 6.897 7.794
26 3.404 95.519927. 1.496 1.6E-01 2.065 0.54593 2.257 3.164 4.096 5.088 6.018 6.897 7.794

27 5.362  3.0  19.5 1.326 2.9E-02 2.125 0.83427 2.257 3.164 4.096 5.088 6.018 6.897 7.794
27 5.362  6.0  78.2 1.326 2.9E-02 2.998 0.79272 2.257 3.164 4.096 5.088 6.018 6.897 7.794
27 5.362 12.0 312.8 1.326 2.9E-02 2.401 0.63005 2.257 3.164 4.096 5.088 6.018 6.897 7.794
27 5.362 24.0 1251. 1.326 2.9E-02 2.233 0.54744 2.257 3.164 4.096 5.088 6.018 6.897 7.794
27 5.362 48.0 5004. 1.326 2.9E-02 2.144 0.52447 2.257 3.164 4.096 5.088 6.018 6.897 7.794
27 5.362 95.519927. 1.326 2.9E-02 2.090 0.52671 2.257 3.164 4.096 5.088 6.018 6.897 7.794

Ice-Hexg/cld 0.91700   same as above except for P1:P7
12 0.295  3.0  19.5 1.336 5.8E-09 2.129 1.00000 2.435 3.712 4.756 5.960 6.908 7.865 8.954
12 0.295  6.0  78.2 1.336 5.8E-09 2.083 1.00000 2.435 3.712 4.756 5.960 6.908 7.865 8.954
12 0.295 12.0 312.8 1.336 5.8E-09 2.052 1.00000 2.435 3.712 4.756 5.960 6.908 7.865 8.954
