(fort10_06b) UCI J-v8.4 (4/06) JPL02+irHNO4+IUPAC/NO2/VOC+Blitz +flux2006     
           0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
CH2Cl2 295 1.001E-18 5.807E-19 3.980E-19 2.147E-19 7.135E-20 2.123E-20
           1.194E-20 1.227E-20 7.550E-24 1.014E-22 2.360E-22 0.000E+00
           0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
CH2Cl2 298 1.001E-18 5.807E-19 3.980E-19 2.147E-19 7.135E-20 2.123E-20
           1.194E-20 1.227E-20 7.550E-24 1.014E-22 2.360E-22 0.000E+00
           0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
CHF2Cl 210 7.494E-21 2.752E-21 1.541E-21 6.772E-22 1.908E-22 3.775E-23
           1.836E-23 2.980E-23 0.000E+00 0.000E+00 2.072E-25 0.000E+00
           0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
CHF2Cl 298 7.508E-21 2.783E-21 1.580E-21 7.388E-22 2.371E-22 6.205E-23
           3.498E-23 4.067E-23 0.000E+00 0.000E+00 5.984E-25 0.000E+00
           0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
F123   210 9.477E-19 5.104E-19 3.413E-19 1.845E-19 6.084E-20 1.632E-20
           8.820E-21 9.596E-21 4.462E-24 6.962E-23 1.708E-22 0.000E+00
           0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
F123   295 1.036E-18 6.020E-19 4.220E-19 2.466E-19 8.890E-20 2.668E-20
           1.501E-20 1.435E-20 1.189E-23 1.412E-22 3.164E-22 0.000E+00
           0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
F141b  210 1.070E-18 7.020E-19 5.165E-19 3.064E-19 1.026E-19 2.588E-20
           1.298E-20 1.430E-20 2.940E-24 6.901E-23 2.167E-22 0.000E+00
           0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
F141b  298 1.126E-18 7.473E-19 5.560E-19 3.445E-19 1.219E-19 3.311E-20
           1.749E-20 1.724E-20 4.901E-24 1.135E-22 3.115E-22 0.000E+00
           0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
F142b  210 2.300E-20 8.701E-21 4.892E-21 2.158E-21 6.225E-22 1.325E-22
           6.412E-23 9.552E-23 0.000E+00 1.808E-25 8.567E-25 0.000E+00
           0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
F142b  298 2.842E-20 1.175E-20 6.994E-21 3.378E-21 1.063E-21 2.568E-22
           1.309E-22 1.599E-22 0.000E+00 4.680E-25 1.974E-24 0.000E+00
           0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
CH3Br  210 1.088E-18 5.032E-19 5.880E-19 6.974E-19 7.649E-19 6.880E-19
           6.102E-19 5.213E-19 6.091E-21 3.141E-20 3.384E-20 0.000E+00
           0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
CH3Br  296 1.088E-18 5.032E-19 5.880E-19 6.974E-19 7.710E-19 7.004E-19
           6.238E-19 5.365E-19 7.709E-21 3.416E-20 3.537E-20 0.000E+00
           0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
H1211  210 5.525E-19 6.381E-19 7.586E-19 9.286E-19 1.221E-18 1.287E-18
           1.221E-18 1.107E-18 2.880E-20 8.647E-20 7.900E-20 2.574E-23
           6.500E-24 2.067E-24 7.281E-25 6.002E-28 0.000E+00 0.000E+00
H1211  298 5.083E-19 5.769E-19 6.841E-19 8.288E-19 1.109E-18 1.171E-18
           1.110E-18 1.002E-18 3.538E-20 8.341E-20 7.245E-20 1.035E-22
           2.614E-23 8.312E-24 2.928E-24 2.414E-27 0.000E+00 0.000E+00
H1301  210 6.008E-20 8.104E-20 9.353E-20 1.082E-19 1.320E-19 1.358E-19
           1.256E-19 1.096E-19 7.435E-22 5.808E-21 7.096E-21 1.158E-25
           7.298E-27 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
H1301  298 5.456E-20 7.322E-20 8.413E-20 9.672E-20 1.181E-19 1.235E-19
           1.170E-19 1.049E-19 1.371E-21 6.950E-21 7.252E-21 3.859E-25
           2.432E-26 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
H2402  210 1.120E-18 1.230E-18 1.268E-18 1.303E-18 1.288E-18 1.169E-18
           1.064E-18 9.203E-19 2.046E-20 7.238E-20 6.550E-20 1.609E-23
           4.515E-24 1.715E-24 8.065E-25 8.505E-28 0.000E+00 0.000E+00
H2402  298 1.023E-18 1.133E-18 1.175E-18 1.220E-18 1.211E-18 1.098E-18
           1.004E-18 8.982E-19 2.561E-20 7.202E-20 6.334E-20 4.022E-23
           1.129E-23 4.288E-24 2.016E-24 2.126E-27 0.000E+00 0.000E+00
CH2Br2 210 1.959E-18 1.953E-18 2.050E-18 2.218E-18 2.152E-18 2.272E-18
           2.588E-18 3.086E-18 1.541E-19 4.674E-19 3.038E-19 7.403E-23
           4.852E-24 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
CH2Br2 298 1.985E-18 1.979E-18 2.078E-18 2.248E-18 2.209E-18 2.274E-18
           2.409E-18 2.573E-18 1.722E-19 3.733E-19 2.365E-19 2.590E-22
           2.022E-23 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
CHBr3  210 5.582E-18 4.311E-18 4.041E-18 3.938E-18 4.623E-18 4.751E-18
           5.084E-18 5.538E-18 7.770E-19 9.248E-19 5.607E-19 7.371E-21
           1.884E-21 5.808E-22 2.106E-22 2.441E-23 2.035E-25 0.000E+00
CHBr3  296 5.645E-18 4.311E-18 3.957E-18 3.752E-18 4.281E-18 4.543E-18
           4.825E-18 5.242E-18 8.941E-19 9.054E-19 5.341E-19 1.628E-20
           4.870E-21 1.707E-21 7.074E-22 9.311E-23 9.691E-25 0.000E+00
CH3I   210 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
           3.728E-20 4.774E-20 8.199E-19 2.010E-19 6.431E-20 2.781E-20
           8.253E-21 3.557E-21 1.826E-21 3.437E-22 2.347E-24 0.000E+00
CH3I   298 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
           3.728E-20 4.774E-20 8.383E-19 2.430E-19 9.306E-20 4.648E-20
           1.511E-20 6.466E-21 3.293E-21 6.699E-22 9.781E-24 0.000E+00
CF3I   210 7.810E-21 3.897E-21 2.406E-21 1.654E-21 1.770E-21 2.843E-21
           4.166E-21 6.218E-21 5.767E-19 3.647E-19 2.023E-19 1.225E-19
           4.277E-20 1.644E-20 7.396E-21 1.169E-21 1.219E-23 0.000E+00
CF3I   300 7.810E-21 3.897E-21 2.406E-21 1.654E-21 1.770E-21 2.843E-21
           4.166E-21 6.218E-21 5.173E-19 3.550E-19 2.274E-19 1.541E-19
           6.499E-20 2.943E-20 1.453E-20 2.580E-21 3.848E-23 0.000E+00
OCS    225 2.886E-20 2.996E-20 2.915E-20 2.338E-20 6.033E-20 1.226E-19
           1.688E-19 2.184E-19 1.003E-20 4.131E-20 2.415E-20 9.441E-25
           0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
